Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All  Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke
Colorado,2016,45,11/12/2016,696,604,12,152,14,29,,38,10,,,123,44,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,46,11/19/2016,719,624,,161,14,42,,47,,14,11,128,31,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Colorado,2016,47,11/26/2016,754,668,,135,22,43,,58,,,,174,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,48,12/03/2016,739,649,15,139,16,33,11,44,15,,,137,42,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,49,12/10/2016,806,716,11,156,30,40,13,58,15,,,156,40,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,50,12/17/2016,763,680,,171,20,33,10,52,,,10,159,35,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Colorado,2016,51,12/24/2016,745,664,,156,24,43,12,51,10,13,,144,33,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,52,12/31/2016,799,717,,151,18,41,21,50,18,13,,171,37,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,1,01/07/2017,793,700,,149,24,42,13,63,,19,,150,40,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,2,01/14/2017,840,743,13,163,26,42,17,67,21,,,142,37,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,3,01/21/2017,792,704,,155,15,40,21,62,15,10,,159,46,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,4,01/28/2017,742,665,,118,13,54,26,53,12,14,,149,34,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,5,02/04/2017,782,694,15,145,20,32,24,66,,11,,151,34,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,6,02/11/2017,821,719,,161,26,36,17,62,14,11,,160,52,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,7,02/18/2017,798,713,15,152,23,30,27,58,,,,142,46,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,8,02/25/2017,822,750,12,154,27,42,17,71,11,13,,166,43,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,9,03/04/2017,788,705,,141,22,46,18,56,,10,,154,43,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,10,03/11/2017,817,735,16,166,19,45,19,66,19,14,,146,42,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,11,03/18/2017,796,711,18,169,17,45,22,65,11,11,,138,32,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,12,03/25/2017,773,680,13,143,15,42,12,51,16,11,0,164,38,,,,,,,,,,,,,
Colorado,2017,13,04/01/2017,773,694,11,149,21,44,16,60,,11,,142,43,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,14,04/08/2017,772,666,14,159,23,37,14,51,14,12,,133,36,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,15,04/15/2017,777,684,11,160,20,31,12,48,,15,,142,49,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,16,04/22/2017,806,697,11,157,20,49,10,52,15,11,,139,35,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,17,04/29/2017,732,644,12,158,17,41,12,42,12,,,134,34,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,18,05/06/2017,725,627,,144,19,36,,66,10,12,,113,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,19,05/13/2017,726,614,13,138,14,28,,59,11,14,,126,44,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,20,05/20/2017,705,615,11,152,12,31,,60,12,,,125,40,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,21,05/27/2017,736,641,12,153,15,31,,55,,13,,146,46,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,22,06/03/2017,669,597,,163,12,35,,37,18,12,,118,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,23,06/10/2017,694,600,12,147,23,22,,48,,,,122,34,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,24,06/17/2017,708,618,14,151,16,34,,39,,10,,129,30,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,25,06/24/2017,697,572,,140,19,29,13,33,,,,135,31,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,26,07/01/2017,675,591,,157,20,28,,47,11,,,145,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,27,07/08/2017,720,624,,162,20,30,,52,11,,,144,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,28,07/15/2017,660,566,,155,19,18,,43,10,,,112,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,29,07/22/2017,659,571,10,146,20,24,,42,11,,,124,43,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,30,07/29/2017,677,578,,168,21,23,,36,,,,127,43,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,31,08/05/2017,672,589,,136,26,32,,47,13,,,122,43,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,32,08/12/2017,682,608,,144,17,37,,42,,11,,133,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,33,08/19/2017,675,566,,138,16,26,,40,,,,131,28,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,34,08/26/2017,689,574,,134,16,25,,44,13,11,,109,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,35,09/02/2017,697,624,,142,30,30,,39,11,12,,124,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,36,09/09/2017,731,626,,165,14,42,,42,12,,,128,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,37,09/16/2017,767,674,12,161,24,37,,52,10,,,137,35,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,38,09/23/2017,705,632,,161,19,34,,38,14,11,,141,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,39,09/30/2017,722,631,,157,14,50,10,35,16,10,,124,31,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,40,10/07/2017,744,640,10,133,28,27,11,44,12,,,149,44,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,41,10/14/2017,761,670,,165,20,28,,33,12,10,,153,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,42,10/21/2017,714,629,,155,17,34,,40,,,,137,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,43,10/28/2017,772,670,,147,15,37,10,42,,,,149,49,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,44,11/04/2017,735,645,,149,18,35,11,43,15,13,,137,41,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,45,11/11/2017,783,700,10,157,24,40,14,46,,12,,159,32,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2017,46,11/18/2017,751,653,10,164,15,33,13,45,12,,,142,31,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,47,11/25/2017,743,640,14,140,30,41,,41,11,13,,127,34,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2017,48,12/02/2017,708,618,,143,16,29,10,37,,,,127,44,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,49,12/09/2017,752,652,11,129,23,41,16,47,13,10,,139,38,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2017,50,12/16/2017,757,665,,153,20,35,12,52,16,,,143,39,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,51,12/23/2017,781,700,11,154,15,34,15,62,10,,,157,45,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2017,52,12/30/2017,814,743,,142,32,42,15,76,10,11,,173,36,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,1,01/06/2018,867,765,10,142,26,44,33,68,22,,,161,42,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,2,01/13/2018,868,777,11,167,25,37,30,70,13,11,,177,50,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,3,01/20/2018,815,709,14,130,28,42,28,58,,,,148,44,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,4,01/27/2018,845,752,12,161,21,34,30,65,13,11,,153,48,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,5,02/03/2018,857,763,11,151,21,37,29,65,17,13,,168,34,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,6,02/10/2018,822,730,14,160,15,36,21,67,15,,,167,50,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,7,02/17/2018,821,741,14,139,22,39,20,70,23,,,154,49,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,8,02/24/2018,781,697,11,143,15,35,17,45,12,,10,169,44,,,,,,,,,,Suppressed (counts 1-9),,,
Colorado,2018,9,03/03/2018,749,657,,146,22,37,15,48,,15,,161,52,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2018,10,03/10/2018,782,694,,155,12,33,23,62,16,14,,170,36,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,11,03/17/2018,796,705,14,158,20,37,16,53,15,11,,154,32,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,12,03/24/2018,821,727,10,157,15,33,20,66,14,11,,177,41,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,13,03/31/2018,737,657,14,144,18,35,18,56,20,11,,135,42,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,14,04/07/2018,780,681,11,150,15,34,13,69,,,,156,54,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,15,04/14/2018,788,686,14,161,24,22,,63,11,11,,150,36,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2018,16,04/21/2018,752,680,,155,24,35,,58,17,11,,129,45,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2018,17,04/28/2018,755,661,10,138,14,29,,62,10,,,149,41,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,18,05/05/2018,709,620,,136,18,29,,43,15,,,156,28,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,19,05/12/2018,793,690,10,158,19,39,,58,13,,,143,40,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,20,05/19/2018,682,616,,145,14,28,,51,10,11,,132,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2018,21,05/26/2018,718,621,,156,10,26,,55,,16,,135,25,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2018,22,06/02/2018,709,616,13,141,17,26,,56,10,,,125,38,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,23,06/09/2018,681,577,,143,13,24,,40,,,,132,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,24,06/16/2018,713,614,,143,19,23,,46,10,,,131,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,25,06/23/2018,699,605,13,135,13,21,,53,19,,,134,39,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,26,06/30/2018,664,589,,134,13,31,,46,13,,,122,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,27,07/07/2018,702,599,,152,12,31,,29,12,,,146,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,28,07/14/2018,711,625,,156,18,35,,50,16,,,142,33,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,29,07/21/2018,686,595,10,136,25,28,,43,11,10,,125,35,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2018,30,07/28/2018,694,574,,152,19,30,,47,,,,112,43,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,31,08/04/2018,699,601,,174,21,34,,50,,,,108,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,32,08/11/2018,731,634,,173,26,21,,39,,,,137,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,33,08/18/2018,732,629,,149,13,28,,38,,,,138,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,34,08/25/2018,739,642,,157,16,34,,37,,11,,144,38,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2018,35,09/01/2018,721,634,,145,20,30,,47,10,16,0,133,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,
Colorado,2018,36,09/08/2018,689,588,11,145,12,31,,37,,,,125,31,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,37,09/15/2018,707,613,,154,18,29,,45,11,,,122,45,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,38,09/22/2018,738,658,12,166,17,27,,46,14,,,149,31,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,39,09/29/2018,699,600,,154,12,26,,36,,,,133,43,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,40,10/06/2018,760,657,,162,25,35,,42,,,,135,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,41,10/13/2018,736,645,12,153,19,18,,48,10,,,150,40,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,42,10/20/2018,721,631,,136,19,22,10,42,,,,127,52,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,43,10/27/2018,769,657,,161,22,35,,44,10,,10,136,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
Colorado,2018,44,11/03/2018,724,633,10,154,20,28,,39,11,,,134,30,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,45,11/10/2018,706,621,,149,17,31,10,45,11,10,,132,34,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,46,11/17/2018,767,682,,163,18,38,,58,10,13,,142,46,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2018,47,11/24/2018,772,689,,151,26,41,10,59,13,13,,155,46,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2018,48,12/01/2018,796,715,,167,33,37,,56,,10,,163,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2018,49,12/08/2018,731,652,12,150,22,30,,41,16,,,150,34,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,50,12/15/2018,787,683,10,151,18,35,,43,10,,,163,35,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2018,51,12/22/2018,767,679,,168,22,35,,45,18,12,,164,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2018,52,12/29/2018,765,692,11,147,25,40,18,55,,11,10,156,40,,,,,,,,,Suppressed (counts 1-9),,,,
