Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
09/27/2023,Colorado,2022,25,2022-06-25,911,784,,211,20,34,,44,10,13,,158,35,41,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,26,2022-07-02,838,718,,144,23,47,,34,,,,147,45,42,25,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,27,2022-07-09,876,750,,180,19,26,,42,13,14,,162,46,32,18,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,28,2022-07-16,819,701,,151,23,25,,37,11,10,,157,45,39,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,29,2022-07-23,880,754,12,172,21,32,,46,16,,,148,42,51,29,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,30,2022-07-30,827,706,,159,20,24,,39,,11,,158,34,48,28,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,31,2022-08-06,859,746,10,181,22,35,,33,12,11,,160,25,33,19,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,32,2022-08-13,764,635,,127,19,30,,34,10,,,144,35,33,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,33,2022-08-20,801,681,,136,29,25,,43,,12,,130,53,33,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,34,2022-08-27,815,689,19,164,18,32,,38,15,,11,158,31,20,13,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
09/27/2023,Colorado,2022,35,2022-09-03,835,723,,165,22,38,,47,13,,,139,32,36,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,36,2022-09-10,856,733,16,152,25,25,,37,12,11,,158,49,32,19,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,37,2022-09-17,865,747,17,175,21,35,,52,12,13,,155,34,30,12,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,38,2022-09-24,869,751,,185,14,28,11,41,,,,147,40,41,19,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,39,2022-10-01,881,749,13,159,22,36,,46,12,13,,142,46,32,17,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,40,2022-10-08,782,675,,158,19,31,,43,10,,,143,40,26,14,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,41,2022-10-15,859,727,12,155,32,39,,45,12,14,,143,28,28,16,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,42,2022-10-22,910,788,11,161,28,43,13,49,17,13,,163,42,27,15,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,43,2022-10-29,863,740,,160,26,45,,51,12,12,,142,40,33,25,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,44,2022-11-05,918,771,10,143,21,34,,57,12,,,158,36,43,25,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,45,2022-11-12,938,816,,177,23,43,,32,10,14,,172,41,54,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,46,2022-11-19,954,830,,163,28,37,,49,13,10,,173,53,65,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,47,2022-11-26,982,851,11,161,23,37,14,47,14,12,,204,45,57,31,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,48,2022-12-03,958,843,12,144,33,47,16,63,20,10,,193,33,58,35,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,49,2022-12-10,1002,882,11,171,19,36,14,52,20,,,184,46,61,41,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,50,2022-12-17,970,841,10,188,26,35,13,67,20,17,,165,41,47,29,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,51,2022-12-24,1046,890,13,174,23,36,19,63,15,11,,178,51,52,27,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,52,2022-12-31,1000,865,,172,24,39,29,66,10,16,,162,42,50,27,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,1,2023-01-07,973,844,12,152,27,37,22,66,13,13,,176,41,55,27,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,2,2023-01-14,947,838,,150,25,32,14,59,17,22,,164,48,48,22,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,3,2023-01-21,935,837,13,159,27,46,13,64,15,17,,166,56,41,23,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,4,2023-01-28,872,765,10,138,21,38,,67,14,12,,170,33,25,13,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,5,2023-02-04,882,783,12,165,23,32,11,49,11,10,,166,47,25,10,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,6,2023-02-11,843,719,,164,18,31,,42,,11,,161,49,23,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,7,2023-02-18,928,815,11,166,25,47,,36,15,12,,175,46,20,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,8,2023-02-25,912,813,13,161,27,38,,67,19,13,,157,45,22,10,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,9,2023-03-04,921,801,10,168,26,36,,43,14,14,,158,44,27,17,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,10,2023-03-11,859,757,11,144,20,37,,71,17,12,,165,30,25,12,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,11,2023-03-18,896,790,23,179,22,31,,53,18,12,,150,37,25,11,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,12,2023-03-25,884,759,11,161,21,35,,52,21,11,,150,50,24,19,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,13,2023-04-01,870,768,10,151,30,40,,56,17,,,170,38,31,18,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,14,2023-04-08,962,836,10,172,31,45,,46,14,10,,164,44,27,13,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,15,2023-04-15,905,772,,181,18,40,,48,15,12,,160,54,23,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2023,16,2023-04-22,857,755,,149,21,40,,44,14,13,,184,38,19,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,17,2023-04-29,893,792,15,178,27,31,10,47,14,10,,152,46,16,,,,,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,18,2023-05-06,900,776,14,167,21,28,,48,,,,190,46,18,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,19,2023-05-13,901,765,14,178,18,34,,39,14,12,,163,48,13,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,20,2023-05-20,758,652,,154,18,28,,43,10,,,137,43,15,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,21,2023-05-27,833,708,10,162,24,25,,43,17,,10,154,38,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,22,2023-06-03,806,665,,142,22,35,,37,15,,,132,50,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,23,2023-06-10,823,720,11,177,20,22,,53,,14,,144,45,13,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,24,2023-06-17,758,636,,137,25,37,,42,12,10,13,122,43,10,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,25,2023-06-24,899,780,,167,23,34,,38,13,15,22,158,40,11,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,26,2023-07-01,798,711,11,156,18,31,,34,20,,29,147,51,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,27,2023-07-08,824,705,,166,16,31,,41,11,12,36,166,25,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,28,2023-07-15,786,690,,138,15,35,,47,16,12,24,151,48,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,29,2023-07-22,835,727,,159,22,32,,44,21,,36,145,32,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,30,2023-07-29,802,710,10,159,22,30,,39,14,,35,145,37,11,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,31,2023-08-05,851,775,,168,20,34,,31,12,,42,157,44,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,32,2023-08-12,792,715,,142,15,32,10,38,13,,54,149,44,,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,33,2023-08-19,850,782,10,145,20,39,,40,17,,63,152,49,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
09/27/2023,Colorado,2023,34,2023-08-26,835,785,,202,22,32,,37,16,,72,132,33,17,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,35,2023-09-02,807,757,,165,16,31,,46,13,12,87,118,42,10,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,36,2023-09-09,704,685,,151,,30,,46,,10,83,118,32,10,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2023,37,2023-09-16,551,551,,117,15,33,,25,,,66,93,36,13,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
